Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
IndusInd Bank Ltd.,Financials,Large-Cap,July-2019,23185594,3273.03
NTPC Ltd.,Energy,Large-Cap,July-2019,193295426,2589.17
Coal India Ltd.,Energy,Large-Cap,July-2019,102987674,2359.70
Axis Bank Ltd.,Financials,Large-Cap,July-2019,31634687,2345.11
Oil & Natural Gas Corporation Ltd.,Energy,Large-Cap,July-2019,147736432,2264.83
ICICI Bank Ltd.,Financials,Large-Cap,July-2019,44709013,1926.29
Indian Oil Corporation Ltd.,Energy,Large-Cap,July-2019,125812912,1856.98
HDFC Bank Ltd.,Financials,Large-Cap,July-2019,5446788,1278.77
Larsen & Toubro Ltd.,Infrastructure,Large-Cap,July-2019,7310015,1074.75
Reliance Industries Ltd.,Energy,Large-Cap,July-2019,8404613,1016.65
ITC Ltd.,FMCG,Large-Cap,July-2019,37319618,1015.18
Power Finance Corporation Ltd.,Financials,Large-Cap,July-2019,61505104,750.21
Tata Consultancy Services Ltd.,Technology,Large-Cap,July-2019,3368275,746.56
Titan Company Ltd.,Retail and Other Services,Large-Cap,July-2019,4848719,579.68
Bajaj Finance Ltd.,Financials,Large-Cap,July-2019,1176408,407.81
Hindustan Unilever Ltd.,FMCG,Large-Cap,July-2019,2039969,358.44
Power Grid Corporation Of India Ltd.,Energy,Large-Cap,July-2019,16756566,349.98
Kotak Mahindra Bank Ltd.,Financials,Large-Cap,July-2019,2328512,348.88
Ultratech Cement Ltd.,Construction,Large-Cap,July-2019,762874,339.58
Tech Mahindra Ltd.,Technology,Large-Cap,July-2019,4793346,321.84
Housing Development Finance Corporation Ltd.,Financials,Large-Cap,July-2019,1440204,310.64
Bharti Airtel Ltd.,Media and Communications,Large-Cap,July-2019,8907532,304.75
Maruti Suzuki India Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,447166,268.40
Yes Bank Ltd.,Financials,Large-Cap,July-2019,26655972,266.50
Vedanta Ltd.,Metals,Large-Cap,July-2019,15080368,247.66
Hindustan Petroleum Corporation Ltd.,Energy,Large-Cap,July-2019,8778861,244.10
Bharat Petroleum Corporation Ltd.,Energy,Large-Cap,July-2019,6567503,242.33
Dr. Reddys Laboratories Ltd.,Healthcare,Large-Cap,July-2019,915660,234.64
Sun Pharmaceutical Industries Ltd.,Healthcare,Large-Cap,July-2019,4570911,189.17
Grasim Industries Ltd.,Diversified,Large-Cap,July-2019,2199482,187.22
Cipla Ltd.,Healthcare,Large-Cap,July-2019,3279251,176.19
Bajaj Auto Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,611491,163.38
Divis Laboratories Ltd.,Healthcare,Large-Cap,July-2019,938402,151.59
Avenue Supermarts Ltd.,Retail and Other Services,Large-Cap,July-2019,979765,141.12
DLF Ltd.,Construction,Large-Cap,July-2019,7135015,130.82
Container Corporation Of India Ltd.,Logistics,Large-Cap,July-2019,2271903,122.89
Godrej Consumer Products Ltd.,FMCG,Large-Cap,July-2019,1879830,118.60
Eicher Motors Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,65559,116.32
Motherson Sumi Systems Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,9343471,106.84
Petronet LNG Ltd.,Energy,Large-Cap,July-2019,4357060,104.91
Adani Ports and Special Economic Zone Ltd.,Infrastructure,Large-Cap,July-2019,2627186,103.48
United Spirits Ltd.,FMCG,Large-Cap,July-2019,1646661,97.07
ICICI Lombard General Insurance Co Ltd.,Financials,Large-Cap,July-2019,798930,92.67
Vodafone Idea Ltd.,Media and Communications,Large-Cap,July-2019,95437217,90.67
Nestle India Ltd.,FMCG,Large-Cap,July-2019,75033,88.14
Wipro Ltd.,Technology,Large-Cap,July-2019,3169324,86.49
Ambuja Cements Ltd.,Construction,Large-Cap,July-2019,3633321,75.35
ICICI Prudential Life Insurance Company Ltd.,Financials,Large-Cap,July-2019,1651938,65.28
Asian Paints Ltd.,Chemicals,Large-Cap,July-2019,435921,62.76
Havells India Ltd.,Capital Goods,Large-Cap,July-2019,838629,60.02
GAIL (India) Ltd.,Energy,Large-Cap,July-2019,4163755,59.30
HCL Technologies Ltd.,Technology,Large-Cap,July-2019,514957,54.05
SBI Life Insurance Company Ltd.,Financials,Large-Cap,July-2019,699921,53.24
Hero MotoCorp Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,187758,46.35
Larsen & Toubro Infotech Ltd.,Technology,Large-Cap,July-2019,213977,35.77
Glaxosmithkline Consumer Healthcare Ltd.,FMCG,Large-Cap,July-2019,41671,31.47
Torrent Pharmaceuticals Ltd.,Healthcare,Large-Cap,July-2019,168336,27.09
Bank Of Baroda,Financials,Large-Cap,July-2019,2340445,26.72
Hindustan Zinc Ltd.,Metals,Large-Cap,July-2019,983267,22.67
Marico Ltd.,FMCG,Large-Cap,July-2019,550692,20.30
Siemens Ltd.,Capital Goods,Large-Cap,July-2019,151412,18.59
Cadila Healthcare Ltd.,Healthcare,Large-Cap,July-2019,746154,17.52
Bosch Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,10961,16.70
Bajaj Holdings & Investment Ltd.,Financials,Large-Cap,July-2019,45329,15.86
JSW Steel Ltd.,Metals,Large-Cap,July-2019,449340,11.55
Procter & Gamble Hygiene & Health Care Ltd.,FMCG,Large-Cap,July-2019,9938,10.74
Bharti Infratel Ltd.,Media and Communications,Large-Cap,July-2019,268839,6.89
General Insurance Corporation of India Ltd.,Financials,Large-Cap,July-2019,107127,2.19
Bharat Electronics Ltd.,Capital Goods,Mid-Cap,July-2019,55835946,600.78
Oil India Ltd.,Energy,Mid-Cap,July-2019,21622605,364.88
RBL Bank Ltd.,Financials,Mid-Cap,July-2019,3895907,203.08
Voltas Ltd.,Consumer Durables,Mid-Cap,July-2019,3214208,197.09
The Federal Bank Ltd.,Financials,Mid-Cap,July-2019,19438889,195.17
Cholamandalam Financial Holdings Ltd.,Financials,Mid-Cap,July-2019,3940619,181.69
TVS Motor Company Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,4241848,168.88
Godrej Properties Ltd.,Construction,Mid-Cap,July-2019,1483967,145.08
Torrent Power Ltd.,Energy,Mid-Cap,July-2019,4841519,142.00
NBCC (India) Ltd.,Construction,Mid-Cap,July-2019,25834903,132.24
NLC India Ltd.,Energy,Mid-Cap,July-2019,20851226,128.81
Apollo Tyres Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,7175736,128.47
City Union Bank Ltd.,Financials,Mid-Cap,July-2019,6037221,124.29
Mahindra & Mahindra Financial Services Ltd.,Financials,Mid-Cap,July-2019,3013820,104.46
Coromandel International Ltd.,Chemicals,Mid-Cap,July-2019,2531914,100.17
Reliance Nippon Life Asset Management Ltd.,Financials,Mid-Cap,July-2019,4190173,94.01
Bharat Forge Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,2136020,93.22
SKF India Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,473913,91.20
