Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Bharat Financial Inclusion Ltd.,Financials,Mid-Cap,July-2019,30239745,2699.05
REC Ltd.,Financials,Large-Cap,July-2019,46245923,705.35
Infosys Ltd.,Technology,Large-Cap,July-2019,7476497,570.33
UPL Ltd.,Chemicals,Large-Cap,July-2019,9055043,552.52
Shriram Transport Finance Company Ltd.,Financials,Mid-Cap,July-2019,5039093,516.43
Mindtree Ltd.,Technology,Mid-Cap,July-2019,6222923,511.43
State Bank Of India,Financials,Large-Cap,July-2019,7797538,270.35
Indiabulls Housing Finance Ltd.,Financials,Large-Cap,July-2019,4142633,236.81
Jubilant Life Sciences Ltd.,Chemicals,Mid-Cap,July-2019,3890992,185.1
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,2711836,163.44
Solar Industries (India) Ltd.,Chemicals,Mid-Cap,July-2019,1261002,150.08
Dabur India Ltd.,FMCG,Large-Cap,July-2019,3194051,132.07
Sundaram Finance Ltd.,Financials,Mid-Cap,July-2019,741783,118.29
Lupin Ltd.,Healthcare,Large-Cap,July-2019,1431455,108.76
Hindalco Industries Ltd.,Metals,Large-Cap,July-2019,5357142,106.5
L&T Finance Holdings Ltd.,Financials,Mid-Cap,July-2019,9347155,100.11
Punjab National Bank,Financials,Large-Cap,July-2019,13199242,98.17
Interglobe Aviation Ltd.,Travel,Large-Cap,July-2019,596635,92.93
Tata Motors Ltd.,Automobile and Ancillaries,Large-Cap,July-2019,6213371,92.63
Aavas Financiers Ltd.,Financials,Mid-Cap,July-2019,600843,89.84
Steel Authority Of India Ltd.,Metals,Mid-Cap,July-2019,18867230,88.2
LIC Housing Finance Ltd.,Financials,Mid-Cap,July-2019,1609371,86.4
Quess Corp Ltd.,Miscellaneous,Mid-Cap,July-2019,1692121,86.07
Britannia Industries Ltd.,FMCG,Large-Cap,July-2019,316863,84.74
Escorts Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,1681729,84.62
Ashok Leyland Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,10627174,83.48
Info Edge (India) Ltd.,Technology,Mid-Cap,July-2019,354987,79.73
Adani Power Ltd.,Energy,Mid-Cap,July-2019,14066390,79.02
Aurobindo Pharma Ltd.,Healthcare,Large-Cap,July-2019,1254354,73.96
Tata Global Beverages Ltd.,FMCG,Mid-Cap,July-2019,2798684,72.95
Shree Cement Ltd.,Construction,Large-Cap,July-2019,34377,72.17
Amara Raja Batteries Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,1100476,71.3
Tata Steel Ltd.,Metals,Large-Cap,July-2019,1517793,71.07
HDFC Life Insurance Co Ltd.,Financials,Large-Cap,July-2019,1396038,66.84
Intellect Design Arena Ltd.,Technology,Small-Cap,July-2019,2712974,66.59
NMDC Ltd.,Energy,Large-Cap,July-2019,6004962,66.55
ACC Ltd.,Construction,Large-Cap,July-2019,421963,65.88
ABB India Ltd.,Capital Goods,Large-Cap,July-2019,433609,64.29
HDFC Asset Management Company Ltd.,Financials,Large-Cap,July-2019,288516,60.74
Max Financial Services Ltd.,Financials,Mid-Cap,July-2019,1384906,57.14
Adani Enterprises Ltd.,Miscellaneous,Mid-Cap,July-2019,3875859,54.13
Bandhan Bank Ltd.,Financials,Large-Cap,July-2019,1056554,53.86
CESC Ltd.,Energy,Mid-Cap,July-2019,694700,53.09
Multi Commodity Exchange Of India Ltd.,Financials,Small-Cap,July-2019,609485,50.13
Colgate-Palmolive (India) Ltd.,FMCG,Large-Cap,July-2019,421366,48.82
Berger Paints India Ltd.,Chemicals,Large-Cap,July-2019,1459053,47.3
Bharat Heavy Electricals Ltd.,Capital Goods,Mid-Cap,July-2019,6468656,42.71
Indian Energy Exchange Ltd.,Energy,Small-Cap,July-2019,2948651,42.11
Indraprastha Gas Ltd.,Energy,Mid-Cap,July-2019,1337310,41.31
MRF Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,7175,39.52
IDFC First Bank Ltd.,Financials,Mid-Cap,July-2019,9242562,39.37
Muthoot Finance Ltd.,Financials,Mid-Cap,July-2019,596182,37.34
Sanofi India Ltd.,Healthcare,Mid-Cap,July-2019,62701,36.93
Polycab India Ltd.,Capital Goods,Mid-Cap,July-2019,604195,35.72
Raymond Ltd.,Textile,Small-Cap,July-2019,499183,34.67
Canara Bank,Financials,Mid-Cap,July-2019,1268571,33.03
Bajaj Finserv Ltd.,Financials,Large-Cap,July-2019,42002,32.81
Strides Pharma Science Ltd.,Healthcare,Small-Cap,July-2019,741787,29.09
Tata Motors - DVR Ordinary,Automobile and Ancillaries,Small-Cap,July-2019,4007385,29.01
Oracle Financial Services Software Ltd.,Technology,Large-Cap,July-2019,87925,28.86
Bank Of India,Financials,Mid-Cap,July-2019,3553516,28.85
Godrej Agrovet Ltd.,FMCG,Mid-Cap,July-2019,614230,28.81
Aarti Industries Ltd.,Chemicals,Mid-Cap,July-2019,166878,28.74
Piramal Enterprises Ltd.,Healthcare,Large-Cap,July-2019,141965,26.66
Varun Beverages Ltd.,FMCG,Mid-Cap,July-2019,401041,25.47
Equitas Holdings Ltd.,Financials,Small-Cap,July-2019,2135319,24.83
Endurance Technologies Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,238914,24.33
Engineers India Ltd.,Capital Goods,Small-Cap,July-2019,2124115,23.52
GMR Infrastructure Ltd.,Infrastructure,Mid-Cap,July-2019,14619642,21.82
Biocon Ltd.,Healthcare,Large-Cap,July-2019,912310,21.76
National Aluminium Company Ltd.,Metals,Mid-Cap,July-2019,4568902,21.69
Cummins India Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,292802,21.57
Magma Fincorp Ltd.,Financials,Small-Cap,July-2019,1996126,20.9
Sobha Ltd.,Construction,Small-Cap,July-2019,378253,20.6
Graphite India Ltd.,Capital Goods,Small-Cap,July-2019,623521,20.03
Glenmark Pharmaceuticals Ltd.,Healthcare,Mid-Cap,July-2019,436026,18.95
Balkrishna Industries Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,250798,18.29
